row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,ViT-B_32_clip,ViT-L_14_clip,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
coat_lite_tiny_classification,9.981786360299838,10.446021572448974,9.055196724850656,10.136282207800024,10.07045785955429,9.69940260820118,10.072533045065368,9.907202686001773,10.664370570542308,10.54172085151792,0.0,9.770013651053324,10.620579341670693,9.859113827896008,9.951020618539332,9.830285571042907,10.66952153285976,9.620265813410606,9.869122787784766,10.399627871902563,9.88765844890333,10.465646530625794,9.581151636301508,10.297528262547887,9.812339838352184,9.738766659173915,9.819015487084409,9.444229583013088,10.48694642511059,9.863820210861348,9.371415426459286,9.551411908903187,9.527636441339316
convit_base_classification,9.555702520384152,9.842187411075384,8.708035835309415,9.586374248764454,9.413747587416074,9.37347709596839,9.623543020267425,9.558765530140594,10.027563284433915,9.96328037933387,9.770013651053324,0.0,9.975535030129508,9.729190080529705,9.553310848936738,9.75699964469402,9.889161212904083,9.123696777133834,9.341812371739898,9.948311055973496,9.38025599326078,9.803421453642578,9.252600948983591,9.678529063848698,9.29085164984723,9.392780431306372,9.513960009265816,9.339309221011906,9.857973706418496,9.59136764713277,9.234491109952348,9.222073780067277,9.288618221511248
convnext_base_classification,10.861626292937618,11.37500505048561,9.18155372741376,10.494718632504664,10.298210270797624,9.948794925481115,10.523144008890275,10.436705245102798,11.12353005588765,11.118001870614927,10.620579341670693,9.975535030129508,0.0,10.175733159321958,10.676268242283388,10.183006957298884,11.009469181441052,9.939890659395555,10.15021713565018,10.741061610364204,10.400967491318738,10.844903834923594,10.021889349520706,10.313600305927109,10.16295845543668,10.177859370452346,10.421218153573546,9.6400492711614,10.691159283136312,10.146269775978269,9.664520681369854,9.64305206817282,9.624956999181729
crossvit_base_240_classification,9.746190684526333,10.037749943664366,8.842071843770865,9.724012544499637,9.474161933200389,9.49068574628408,9.793125760445385,9.76335224519717,10.190882103755827,10.106234502763217,9.859113827896008,9.729190080529705,10.175733159321958,0.0,9.721649708369688,9.96774215012509,10.022529929063646,9.218371713690091,9.42313997166686,10.13304665366294,9.691747893197208,9.921756061180998,9.393548908730295,9.76982772769435,9.439657434094926,9.560359923565285,9.633484260564876,9.3974362602444,10.025390687774628,9.673065359097116,9.35893120829424,9.219173052065216,9.266416614807296
cspresnet50_classification,10.377874248569174,10.68160456737923,8.817262159230163,10.050969115480443,9.719020897588011,9.542648803946909,10.030328049411116,10.14355197783567,10.283717731999856,10.287565812352089,9.951020618539332,9.553310848936738,10.676268242283388,9.721649708369688,0.0,9.736520986564946,10.296474498090111,9.66184660879001,9.711722238184658,10.091050645563875,9.975307082951726,10.31875574690996,9.915461422920362,9.703279965436687,9.941927662992711,9.95306922882651,9.974124018268418,9.3201705237323,9.989259605423207,9.69547369979792,9.416990397503678,9.266365522776386,9.270887089364075
deit_base_patch16_224_classification,9.732582889812774,10.042695628100912,8.890442133433917,9.740796869625187,9.461807782951627,9.51834320771786,9.816860818921365,9.819544058256556,10.181276268824432,10.091852885449628,9.830285571042907,9.75699964469402,10.183006957298884,9.96774215012509,9.736520986564946,0.0,9.99750408152132,9.209456976458425,9.399694030395828,10.170521263894118,9.72282476272675,9.932547720025868,9.423531135514535,9.753977545248556,9.471187799488122,9.56619891443871,9.615119123292422,9.392454907145662,10.057098713672348,9.66465392006561,9.341454316476968,9.23199226051062,9.3053113713666
eca_nfnet_l0_classification,10.400423910847804,10.878855950439648,9.098071506374897,10.349793710042194,10.126686581071766,9.836506165868215,10.314781959030483,10.132069678975189,10.878989126882493,10.788428007510836,10.66952153285976,9.889161212904083,11.009469181441052,10.022529929063646,10.296474498090111,9.99750408152132,0.0,9.949913800423282,10.192561122549916,10.544435258242268,10.116919493339449,10.81980384880031,9.957155225970562,10.27729708292606,10.0348368081967,10.08566037547518,10.25086453032749,9.573326122062504,10.664780326041166,9.96512430546797,9.547573123962296,9.604445736269644,9.641499429017056
ghostnet_100_classification,9.629022809438148,9.90479238928155,8.46672798918417,9.564391552131864,9.285003801955057,9.094445690639573,9.489101683188046,9.354943580496354,9.76802167999964,9.74377559620136,9.620265813410606,9.123696777133834,9.939890659395555,9.218371713690091,9.66184660879001,9.209456976458425,9.949913800423282,0.0,9.591873638158903,9.56595727010816,9.389901828749675,9.999661531445737,9.31644360890429,9.366122295874115,9.466980048770685,9.529727421241454,9.439716839199647,8.927667595448847,9.581211627593875,9.26026942075842,9.030440833803176,8.98749727399769,8.954682153515781
hardcorenas_f_classification,9.72617530871349,10.074411512112656,8.581624850458452,9.682355264315628,9.506843840219746,9.218659937090862,9.547425159450883,9.426410908462666,10.03171861523533,9.984438503385348,9.869122787784766,9.341812371739898,10.15021713565018,9.42313997166686,9.711722238184658,9.399694030395828,10.192561122549916,9.591873638158903,0.0,9.778098458129088,9.400676265678769,10.198044394402713,9.296605175523444,9.627321814491728,9.475654882867708,9.586909104094724,9.643256562587569,9.147690116110764,9.83101052727992,9.461836127137737,9.148843677914764,9.184934484325495,9.09861919425582
jx_nest_tiny_classification,10.12415999856444,10.521343095387069,9.102939367614422,10.171227251600271,9.94357968925166,9.850154321565238,10.191651733913616,10.108563766746949,10.741234799374595,10.64038983206982,10.399627871902563,9.948311055973496,10.741061610364204,10.13304665366294,10.091050645563875,10.170521263894118,10.544435258242268,9.56595727010816,9.778098458129088,0.0,10.088507876754482,10.403461371620224,9.724697978705109,10.223191333885008,9.823026248736912,9.825157893238387,9.970427522926665,9.606926317472295,10.590501106434232,10.011490872592292,9.546171852580535,9.606289224881296,9.623635022769694
