model_name,layer_index,pc_index,alpha
eca_nfnet_l0_classification,134,76,910298.1779915227
eca_nfnet_l0_classification,134,77,429193.42601287784
eca_nfnet_l0_classification,134,78,429193.42601287784
eca_nfnet_l0_classification,134,79,429193.42601287784
eca_nfnet_l0_classification,134,80,429193.42601287784
eca_nfnet_l0_classification,134,81,429193.42601287784
eca_nfnet_l0_classification,134,82,202358.96477251555
eca_nfnet_l0_classification,134,83,429193.42601287784
eca_nfnet_l0_classification,134,84,429193.42601287784
eca_nfnet_l0_classification,134,85,429193.42601287784
eca_nfnet_l0_classification,134,86,910298.1779915227
eca_nfnet_l0_classification,134,87,429193.42601287784
eca_nfnet_l0_classification,134,88,429193.42601287784
eca_nfnet_l0_classification,134,89,429193.42601287784
eca_nfnet_l0_classification,134,90,202358.96477251555
eca_nfnet_l0_classification,134,91,429193.42601287784
eca_nfnet_l0_classification,134,92,202358.96477251555
eca_nfnet_l0_classification,134,93,429193.42601287784
eca_nfnet_l0_classification,134,94,910298.1779915227
eca_nfnet_l0_classification,134,95,429193.42601287784
eca_nfnet_l0_classification,134,96,429193.42601287784
eca_nfnet_l0_classification,134,97,429193.42601287784
eca_nfnet_l0_classification,134,98,429193.42601287784
resnet50_classification,156,1,202358.96477251555
resnet50_classification,156,2,95409.54763499944
resnet50_classification,156,3,95409.54763499944
resnet50_classification,156,4,95409.54763499944
resnet50_classification,156,5,95409.54763499944
resnet50_classification,156,6,95409.54763499944
resnet50_classification,156,7,95409.54763499944
resnet50_classification,156,8,202358.96477251555
resnet50_classification,156,9,202358.96477251555
resnet50_classification,156,10,202358.96477251555
resnet50_classification,156,11,95409.54763499944
resnet50_classification,156,12,202358.96477251555
resnet50_classification,156,13,202358.96477251555
resnet50_classification,156,14,202358.96477251555
resnet50_classification,156,15,202358.96477251555
resnet50_classification,156,16,202358.96477251555
resnet50_classification,156,17,95409.54763499944
resnet50_classification,156,18,202358.96477251555
resnet50_classification,156,19,202358.96477251555
resnet50_classification,156,20,95409.54763499944
resnet50_classification,156,21,202358.96477251555
resnet50_classification,156,22,202358.96477251555
resnet50_classification,156,23,429193.42601287784
resnet50_classification,156,24,202358.96477251555
resnet50_classification,156,25,202358.96477251555
resnet50_classification,156,26,429193.42601287784
resnet50_classification,156,27,429193.42601287784
resnet50_classification,156,28,202358.96477251555
resnet50_classification,156,29,202358.96477251555
resnet50_classification,156,30,429193.42601287784
resnet50_classification,156,31,202358.96477251555
resnet50_classification,156,32,202358.96477251555
resnet50_classification,156,33,95409.54763499944
resnet50_classification,156,34,202358.96477251555
resnet50_classification,156,35,95409.54763499944
resnet50_classification,156,36,202358.96477251555
resnet50_classification,156,37,429193.42601287784
resnet50_classification,156,38,202358.96477251555
resnet50_classification,156,39,202358.96477251555
resnet50_classification,156,40,429193.42601287784
resnet50_classification,156,41,202358.96477251555
resnet50_classification,156,42,202358.96477251555
resnet50_classification,156,43,202358.96477251555
resnet50_classification,156,44,202358.96477251555
resnet50_classification,156,45,202358.96477251555
resnet50_classification,156,46,95409.54763499944
resnet50_classification,156,47,202358.96477251555
resnet50_classification,156,48,202358.96477251555
resnet50_classification,156,49,202358.96477251555
resnet50_classification,156,50,202358.96477251555
resnet50_classification,156,51,202358.96477251555
resnet50_classification,156,52,202358.96477251555
resnet50_classification,156,53,202358.96477251555
resnet50_classification,156,54,202358.96477251555
resnet50_classification,156,55,429193.42601287784
resnet50_classification,156,56,202358.96477251555
resnet50_classification,156,57,202358.96477251555
resnet50_classification,156,58,202358.96477251555
resnet50_classification,156,59,202358.96477251555
resnet50_classification,156,60,202358.96477251555
resnet50_classification,156,61,202358.96477251555
resnet50_classification,156,62,202358.96477251555
resnet50_classification,156,63,202358.96477251555
resnet50_classification,156,64,429193.42601287784
resnet50_classification,156,65,202358.96477251555
resnet50_classification,156,66,202358.96477251555
resnet50_classification,156,67,429193.42601287784
resnet50_classification,156,68,202358.96477251555
resnet50_classification,156,69,202358.96477251555
resnet50_classification,156,70,202358.96477251555
resnet50_classification,156,71,429193.42601287784
resnet50_classification,156,72,202358.96477251555
resnet50_classification,156,73,429193.42601287784
resnet50_classification,156,74,429193.42601287784
resnet50_classification,156,75,202358.96477251555
resnet50_classification,156,76,429193.42601287784
resnet50_classification,156,77,429193.42601287784
resnet50_classification,156,78,429193.42601287784
resnet50_classification,156,79,202358.96477251555
resnet50_classification,156,80,202358.96477251555
resnet50_classification,156,81,429193.42601287784
resnet50_classification,156,82,202358.96477251555
resnet50_classification,156,83,202358.96477251555
resnet50_classification,156,84,202358.96477251555
resnet50_classification,156,85,429193.42601287784
resnet50_classification,156,86,429193.42601287784
resnet50_classification,156,87,202358.96477251555
resnet50_classification,156,88,429193.42601287784
resnet50_classification,156,89,429193.42601287784
resnet50_classification,156,90,202358.96477251555
resnet50_classification,156,91,429193.42601287784
resnet50_classification,156,92,202358.96477251555
resnet50_classification,156,93,429193.42601287784
resnet50_classification,156,94,429193.42601287784
resnet50_classification,156,95,429193.42601287784
resnet50_classification,156,96,429193.42601287784
resnet50_classification,156,97,429193.42601287784
resnet50_classification,156,98,202358.96477251555
semnasnet_100_classification,270,1,429193.42601287784
semnasnet_100_classification,270,2,202358.96477251555
semnasnet_100_classification,270,3,95409.54763499944
semnasnet_100_classification,270,4,202358.96477251555
semnasnet_100_classification,270,5,95409.54763499944
semnasnet_100_classification,270,6,202358.96477251555
semnasnet_100_classification,270,7,202358.96477251555
semnasnet_100_classification,270,8,202358.96477251555
semnasnet_100_classification,270,9,202358.96477251555
semnasnet_100_classification,270,10,429193.42601287784
semnasnet_100_classification,270,11,202358.96477251555
semnasnet_100_classification,270,12,429193.42601287784
semnasnet_100_classification,270,13,202358.96477251555
semnasnet_100_classification,270,14,202358.96477251555
