red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi,union_info,obj,obj_bias,own_imx_raw_bits,own_imy_raw_bits,own_imxy_raw_bits,own_imx_wishart_bias_bits,own_imy_wishart_bias_bits,own_imxy_wishart_bias_bits,own_imx_wishart_bits,own_imy_wishart_bits,own_imxy_wishart_bits
0.011101118004999348,0.031199071157533405,0.0026189612651388375,0.015252674667048487,0.04230018916253275,0.013720079270138186,0.06017182509472008,0.04491915042767159,7.9182823557244895,7.873363205296818,5.0749367577492155,5.046356647856819,10.60700161118251,5.032636568586759,5.032636568586759,10.546829786087995,0.04230018916245635,0.01372007927005984,0.06017182509451493
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.849043145003119,7.849043145003119,5.018460585887803,4.961227814911676,10.477490630152738,5.032636568586759,5.032636568586759,10.546829786087995,-0.0141759826989559,-0.07140875367508363,-0.06933915593525593
0.0,0.14097991761224993,0.0,0.0,0.14097991761224993,0.0,0.14097991761224993,0.14097991761224993,7.965752059160769,7.824772141548519,5.173616486198945,4.90657037103444,10.639345844671748,5.032636568586759,5.032636568586759,10.546829786087995,0.14097991761218592,-0.12606619755231951,0.09251605858375354
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.934614806543908,7.934614806543908,5.029525807535802,5.011239682888653,10.502175344328782,5.032636568586759,5.032636568586759,10.546829786087995,-0.003110761050956771,-0.021396885698106747,-0.04465444175921261
0.02700942763596359,0.0,0.0991869657640736,0.022033846119312805,0.02700942763596359,0.1261963934000372,0.14823023951935,0.1261963934000372,8.07334294768234,7.947146554282303,5.059645996222655,5.158832961986733,10.695060025607162,5.032636568586759,5.032636568586759,10.546829786087995,0.027009427635896147,0.12619639339997415,0.14823023951916703
0.0,0.12524515841368622,0.0,0.0,0.12524515841368622,0.0,0.12524515841368622,0.12524515841368622,7.964256112133118,7.8390109537194315,5.157881727000383,4.927655268054724,10.610032166539284,5.032636568586759,5.032636568586759,10.546829786087995,0.12524515841362327,-0.10498130053203565,0.06320238045128992
0.03783392875854519,0.0019495300792580217,0.040084716202731574,0.026141567443324742,0.03978345883780321,0.07791864496127676,0.10600974248385953,0.07986817504053478,8.025893018995212,7.946024843954678,5.072420027424494,5.110555213547962,10.652839528571644,5.032636568586759,5.032636568586759,10.546829786087995,0.03978345883773474,0.077918644961203,0.10600974248364828
0.0,0.0,0.07797996167789556,0.0,0.0,0.07797996167789556,0.07797996167789556,0.07797996167789556,7.9269014908517255,7.84892152917383,4.9447108082513545,5.110616530264589,10.509329220573482,5.032636568586759,5.032636568586759,10.546829786087995,-0.08792576033540468,0.07797996167782924,-0.037500565514513064
0.008308153920441264,0.0,0.1811358184658829,0.017271045089018777,0.008308153920441264,0.18944397238632416,0.20671501747534293,0.18944397238632416,8.0923850786476,7.902941106261276,5.040944722507138,5.22208054097302,10.753544803563157,5.032636568586759,5.032636568586759,10.546829786087995,0.008308153920378819,0.1894439723862607,0.20671501747516213
0.0,0.08728151734191414,0.0,0.0,0.08728151734191414,0.0,0.08728151734191414,0.08728151734191414,7.950200501192374,7.86291898385046,5.119918085928613,4.958654165270116,10.502908306263071,5.032636568586759,5.032636568586759,10.546829786087995,0.08728151734185369,-0.07398240331664378,-0.04392147982492386
0.04676193351531166,0.011903845855496642,0.015359463939057627,0.02515487727493182,0.0586657793708083,0.06212139745436929,0.09918012058479775,0.07402524330986593,7.945881382014337,7.87185613870447,5.091302347957507,5.094757966041068,10.646009906672594,5.032636568586759,5.032636568586759,10.546829786087995,0.05866577937074773,0.06212139745430815,0.09918012058460027
0.0,0.0,0.0006128394907465307,0.006891847598997636,0.0,0.0006128394907465307,0.007504687089744166,0.0006128394907465307,7.947536842217016,7.946924002726269,5.031202374338009,5.033249408077448,10.554334473177553,5.032636568586759,5.032636568586759,10.546829786087995,-0.0014341942487508493,0.0006128394906881078,0.007504687089559063
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793265581210524,7.793265581210524,4.94528118673129,5.019357239449076,10.40208475994544,5.032636568586759,5.032636568586759,10.546829786087995,-0.08735538185546998,-0.013279329137683506,-0.14474502614255394
0.030886473296797445,0.04963702109860929,0.019204776698035497,0.03417490167799769,0.08052349439540674,0.05009124999483294,0.13390317277143993,0.09972827109344223,7.954785610763106,7.8550573396696635,5.1131600629821,5.082727818581518,10.680732958859247,5.032636568586759,5.032636568586759,10.546829786087995,0.08052349439534084,0.05009124999475871,0.13390317277125277
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.849626950659144,7.849626950659144,4.993560447839648,4.995869610192896,10.471052803058267,5.032636568586759,5.032636568586759,10.546829786087995,-0.039076120747111816,-0.03676695839386329,-0.07577698302972725
0.0,0.0006153679448681615,0.0,0.0,0.0006153679448681615,0.0,0.0006153679448681615,0.0006153679448681615,7.865471648307506,7.864856280362638,5.033251936531563,5.016355763900534,10.489794246730828,5.032636568586759,5.032636568586759,10.546829786087995,0.000615367944803619,-0.01628080468622559,-0.05703553935716743
2.6201192521377314e-05,0.045302628497511335,0.02824722953112159,0.024791300455404106,0.04532882969003271,0.028273430723642967,0.09836735967655841,0.0735760592211543,7.962312480409796,7.888736421188642,5.077965398276719,5.060909999310333,10.645197145764364,5.032636568586759,5.032636568586759,10.546829786087995,0.04532882968995942,0.02827343072357308,0.09836735967636832
0.009352036272372466,0.05407108572310815,0.0,0.007975935133856638,0.06342312199548061,0.009352036272372466,0.07139905712933725,0.06342312199548061,7.961500681385826,7.898077559390345,5.096059690582168,5.04198860485906,10.618228843217137,5.032636568586759,5.032636568586759,10.546829786087995,0.06342312199540864,0.009352036272300529,0.07139905712914225
0.0,0.0,0.05911826314883406,0.0,0.0,0.05911826314883406,0.05911826314883406,0.05911826314883406,7.964985063572708,7.905866800423874,4.976289727429968,5.091754831735521,10.563206551079748,5.032636568586759,5.032636568586759,10.546829786087995,-0.05634684115679085,0.05911826314876205,0.01637676499175285
0.0,0.0,0.047890742414975485,0.0,0.0,0.047890742414975485,0.047890742414975485,0.047890742414975485,7.899278938039171,7.851388195624195,4.938262750055966,5.080527311001669,10.498559793629445,5.032636568586759,5.032636568586759,10.546829786087995,-0.09437381853079403,0.04789074241490956,-0.04826999245855004
0.0,0.0,0.13600716945165026,0.0,0.0,0.13600716945165026,0.13600716945165026,0.13600716945165026,7.920670975098757,7.7846638056471065,4.895331277950111,5.168643738038343,10.528055998494242,5.032636568586759,5.032636568586759,10.546829786087995,-0.1373052906366491,0.1360071694515829,-0.018773787593752086
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7722849355210775,7.7722849355210775,4.993318109112113,4.870052930905699,10.318490330092661,5.032636568586759,5.032636568586759,10.546829786087995,-0.03931845947464719,-0.16258363768106066,-0.22833945599533387
0.0,0.0,0.1947781329136795,0.05648094600119968,0.0,0.1947781329136795,0.2512590789148792,0.1947781329136795,8.002490904503222,7.807712771589543,5.018896362200754,5.227414701500366,10.798088865002669,5.032636568586759,5.032636568586759,10.546829786087995,-0.013740206386006122,0.19477813291360607,0.25125907891467375
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.760923790872906,7.760923790872906,4.988497732512483,4.875782306069842,10.316709198055163,5.032636568586759,5.032636568586759,10.546829786087995,-0.0441388360742758,-0.1568542625169173,-0.23012058803283125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.873531320645733,7.873531320645733,5.021920946540145,4.965096492216234,10.468228759005711,5.032636568586759,5.032636568586759,10.546829786087995,-0.010715622046614722,-0.06754007637052581,-0.0786010270822832
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83634564315914,7.83634564315914,4.964545195561634,4.99932597759675,10.410661719715094,5.032636568586759,5.032636568586759,10.546829786087995,-0.06809137302512576,-0.03331059099000978,-0.1361680663729001
