R²_A,R²_B,R²_AB,unique_A,unique_B,common,unexplained,suppression_strength,snr,mixing_dimension,rng_seed
0.2914234455527249,-0.0037875908630837737,0.3018120803323841,0.3055996711954679,0.010388634779659178,-0.014176225642742957,0.698187919667616,0.3,20.0,30,1
0.36907813947648,-0.006480373466919094,0.38461078557454026,0.39109115904145936,0.015532646098060265,-0.022013019564979364,0.6153892144254598,0.3,20.0,50,1
0.5169680568743684,-0.011931821394308184,0.5318372772283725,0.5437690986226806,0.014869220354004065,-0.026801041748312215,0.4681627227716275,0.3,20.0,100,1
0.6389047375316983,-0.03232493612460835,0.6440187787090947,0.676343714833703,0.0051140411773964445,-0.03743897730200474,0.35598122129090526,0.3,20.0,250,1
0.985400738306845,-0.0052849937520050095,0.9727852997525259,0.9780702935045309,-0.012615438554319125,0.007330444802314151,0.027214700247474077,0.3,100.0,,1
0.29231085552707936,-0.0037875058407671374,0.3027449834907766,0.30653248933154376,0.010434127963697248,-0.014221633804464395,0.6972550165092234,0.3,100.0,30,1
0.3701824795478966,-0.006486660700532079,0.3857688575626856,0.39225551826321764,0.01558637801478896,-0.022073038715321014,0.6142311424373144,0.3,100.0,50,1
0.5185414190131303,-0.011927474819409941,0.5334928238497992,0.5454202986692092,0.014951404836668902,-0.026878879656078825,0.46650717615020076,0.3,100.0,100,1
0.6409302217888825,-0.03233682157698526,0.6461635272045351,0.6785003487815203,0.005233305415652589,-0.03757012699263784,0.35383647279546493,0.3,100.0,250,1
0.15057970846607394,-0.005337646942631263,0.14087746497002757,0.14621511191265882,-0.00970224349604637,0.004364596553415118,0.8591225350299725,0.5,0.5,,1
0.04470020093282122,-0.003986826698229966,0.044454390586613345,0.04844121728484331,-0.00024581034620787395,-0.003741016352022092,0.9555456094133866,0.5,0.5,30,1
0.05965988430209309,-0.006471392023685899,0.05820169464627461,0.06467308666996051,-0.0014581896558184815,-0.005013202367867418,0.9417983053537254,0.5,0.5,50,1
0.08476371364233803,-0.012580135007941452,0.07787455135302501,0.09045468636096646,-0.006889162289313022,-0.005690972718628423,0.922125448646975,0.5,0.5,100,1
0.09372835732660034,-0.03231505969505919,0.06739525486082458,0.09971031455588378,-0.026333102465775762,-0.005981957229283429,0.9326047451391755,0.5,0.5,250,1
0.40802581500874313,-0.005295720197718863,0.39185646621415854,0.3971521864118774,-0.016169348794584593,0.010873628596865748,0.6081435337858414,0.5,1.0,,1
0.11409498102941891,-0.003933392179004023,0.1189681957341282,0.12290158791313223,0.004873214704709292,-0.00880660688371332,0.8810318042658718,0.5,1.0,30,1
0.15366137713868966,-0.0064325513868456734,0.15897881315938162,0.1654113645462273,0.005317436020691957,-0.011749987407537632,0.8410211868406183,0.5,1.0,50,1
0.2228034016675909,-0.012313740054940903,0.22442479034811058,0.23673853040305148,0.0016213886805196698,-0.013935128735460572,0.7755752096518894,0.5,1.0,100,1
0.27309635975931895,-0.03219304003060322,0.25841687600671825,0.29060991603732145,-0.014679483752600697,-0.017513556278002523,0.7415831239932817,0.5,1.0,250,1
0.9558334099776156,-0.0052775717514119596,0.9417142675284216,0.9469918392798335,-0.014119142449193989,0.00884157069778202,0.05828573247157842,0.5,10.0,,1
0.23898653618903462,-0.003789793344780926,0.25292987089326435,0.25671966423804526,0.013943334704229732,-0.01773312804901067,0.7470701291067356,0.5,10.0,30,1
0.321593485433377,-0.0064724433410456245,0.3387723317762209,0.34524477511726653,0.01717884634284389,-0.02365128968388952,0.6612276682237791,0.5,10.0,50,1
0.46953815136369104,-0.011940085556102285,0.48669970539385127,0.49863979094995353,0.01716155403016023,-0.029101639586262495,0.5133002946061487,0.5,10.0,100,1
0.5971067391916032,-0.032309136632727255,0.6040273574889615,0.6363364941216888,0.00692061829735835,-0.039229754930085625,0.3959726425110385,0.5,10.0,250,1
0.9713528720104606,-0.0052813739640228405,0.9572996183042468,0.9625809922682697,-0.014053253706213797,0.008771879742190958,0.04270038169575319,0.5,20.0,,1
0.241241313759252,-0.0037875908630837737,0.2553553550518351,0.2591429459149189,0.01411404129258309,-0.01790163215566687,0.744644644948165,0.5,20.0,30,1
0.32459018011398133,-0.006480373466919094,0.34196737088817414,0.34844774435509324,0.017377190774192808,-0.023857564241111906,0.6580326291118259,0.5,20.0,50,1
0.4739874283936749,-0.011931821394308184,0.4914369305983807,0.5033687519926888,0.017449502204705758,-0.029381323599013964,0.5085630694016193,0.5,20.0,100,1
