row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,dino_resnet50_selfsupervised,dino_vitb16_selfsupervised,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
ghostnet_100_classification,7.2062673775201,7.206267377520099,6.271653160600111,7.198097481197548,6.868454411279903,6.539019092007534,7.0497385130037,6.894685624532931,7.2062673775201,6.965193012291354,7.206267377520101,6.831824536494444,7.1772056190855125,6.8705327043006434,7.2062673775201,5.692065493915816,7.206267377520101,0.0,6.939596094463723,7.19622856448041,6.972565191903518,7.2062673775201,6.632620214675783,7.081249211403471,6.966657181469086,6.929130846078382,6.972837603406781,6.743237865487636,7.112369568357935,6.841959419144241,6.826533099174567,6.715590161526053,6.6864812647172025
hardcorenas_f_classification,6.939596094463723,6.939596094463724,6.21200383464797,6.939596094463723,6.803060504794868,6.423575319591409,6.9193293497056105,6.7150026642458025,6.939596094463723,6.912190050225899,6.939596094463722,6.780808333130575,6.936615230228498,6.811314404224819,6.939596094463723,5.415036901714028,6.939596094463722,6.939596094463723,0.0,6.939596094463723,6.751508774467677,6.939596094463723,6.412135109676715,6.939596094463723,6.810432580161676,6.929130846078382,6.831170725697552,6.73212040121618,6.939596094463723,6.795694737299038,6.685775012830952,6.624988751749067,6.625626605530077
jx_nest_tiny_classification,7.457700317144642,7.771768653540718,6.277369981812327,7.363998822121055,7.076353611397393,6.644538187160534,7.387623909720733,7.157614154059652,7.771768653540719,7.289767136269433,7.77176865354072,7.207843156377655,7.305820776143114,7.193208337128668,7.771768653540719,6.140000574833402,7.77176865354072,7.19622856448041,6.939596094463723,0.0,7.198727932173589,7.199207837955712,6.632620214675783,7.467327883212644,6.966657181469086,6.929130846078382,7.33824587725393,6.849129297173048,7.540349442221507,6.9605790024957,6.943041194460039,6.836816576538968,6.864047041256545
levit_128_classification,7.168968751447727,7.19872793217359,6.277369981812327,7.198727932173589,6.818413126324504,6.644538187160534,7.138161284170386,7.15530112666388,7.198727932173589,7.030198546048152,7.198727932173588,7.153906711079086,7.157303373761657,7.193208337128668,7.198727932173589,6.140000574833402,7.198727932173588,6.972565191903518,6.751508774467677,7.198727932173589,0.0,6.96951821693528,6.553524702165004,7.198727932173589,6.966657181469086,6.929130846078382,6.900546014542552,6.728040629568995,7.198727932173589,6.866038155032454,6.840984151661458,6.636321761592567,6.630102918103823
mobilenetv3_large_100_classification,7.276528907840619,7.276528907840618,6.253966691733425,7.223469404675632,6.904707037315312,6.582619860791127,7.133583635227069,6.888117621772186,7.276528907840619,6.9766713200969495,7.2765289078406195,6.867015973084805,7.276528907840619,6.906447502119749,7.276528907840619,5.816122803176735,7.2765289078406195,7.2062673775201,6.939596094463723,7.199207837955712,6.96951821693528,0.0,6.632620214675783,7.086678624663873,6.966657181469086,6.929130846078382,7.059379519490981,6.762965048858446,7.139561001834846,6.849794533498326,6.830770139698087,6.672031572965017,6.709210216075604
nf_resnet50_classification,6.632620214675783,6.632620214675782,5.980516014937589,6.632620214675783,6.451422606369653,6.360998886123378,6.632620214675783,6.632620214675783,6.632620214675783,6.632620214675783,6.632620214675784,6.632620214675783,6.632620214675783,6.628217805325085,6.632620214675783,5.671709963988797,6.632620214675784,6.632620214675783,6.412135109676715,6.632620214675783,6.553524702165004,6.632620214675783,0.0,6.632620214675783,6.632620214675783,6.5272172726232665,6.628295459200474,6.452447349204437,6.632620214675783,6.572722307383709,6.460298211094635,6.347842026388203,6.505111965536063
pit_ti_224_classification,7.238104573745741,7.4673278832126435,6.277369981812327,7.363998822121055,7.076353611397393,6.644538187160534,7.387623909720733,7.157614154059652,7.467327883212644,7.289767136269433,7.467327883212645,7.207843156377655,7.185561740291666,7.193208337128668,7.467327883212644,5.736946740919444,7.467327883212645,7.081249211403471,6.939596094463723,7.467327883212644,7.198727932173589,7.086678624663873,6.632620214675783,0.0,6.966657181469086,6.929130846078382,7.097512816123057,6.849129297173048,7.467327883212644,6.9605790024957,6.943041194460039,6.836816576538968,6.864047041256545
resnet50_classification,6.966657181469086,6.966657181469085,6.277369981812327,6.966657181469086,6.915273798613596,6.644538187160534,6.966657181469086,6.966657181469086,6.966657181469086,6.966657181469086,6.966657181469087,6.966657181469086,6.966657181469086,6.966657181469086,6.966657181469086,5.7801787527930895,6.966657181469087,6.966657181469086,6.810432580161676,6.966657181469086,6.966657181469086,6.966657181469086,6.632620214675783,6.966657181469086,0.0,6.929130846078382,6.813904490684186,6.782057565942903,6.966657181469086,6.935574666908837,6.824925892516825,6.724074672357537,6.724960383244954
semnasnet_100_classification,6.929130846078382,6.929130846078383,6.277369981812327,6.929130846078382,6.751509200230228,6.529278471087308,6.929130846078382,6.929130846078382,6.929130846078382,6.929130846078382,6.929130846078381,6.929130846078382,6.929130846078382,6.929130846078382,6.929130846078382,5.861134030000956,6.929130846078381,6.929130846078382,6.929130846078382,6.929130846078382,6.929130846078382,6.929130846078382,6.5272172726232665,6.929130846078382,6.929130846078382,0.0,6.929130846078382,6.844479197950489,6.929130846078382,6.876226342653212,6.820236226567673,6.640882425037519,6.662710074370327
swin_large_patch4_window7_224_classification,7.292166270890728,7.4725574751564015,6.206724866371835,7.038372658927063,6.761037209688044,6.508370499028215,6.943114344138524,6.965381555507824,7.239128182810834,7.135197056011756,7.515334872215236,7.046415938993072,7.1508510521738815,7.071309587906271,7.294919073986151,5.941245327399294,7.515334872215236,6.972837603406781,6.831170725697552,7.33824587725393,6.900546014542552,7.059379519490981,6.628295459200474,7.097512816123057,6.813904490684186,6.929130846078382,0.0,6.849129297173048,7.159182796334528,6.859555910745794,6.837938725952945,6.699902932612946,6.778664085853721
