row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,dino_vitb16_selfsupervised,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
mobilenetv3_large_100_classification,7.276529032003011,7.276529032003012,6.253984492672427,7.223470750896508,6.9047089636582255,6.5826487142256935,7.133588355774183,6.888154118168855,7.276529032003011,6.976673257478144,7.276529032003012,6.867019499880373,7.276529032003011,6.906452200249935,5.8161227637003305,7.27652903200301,7.206267343096539,6.939596098602981,7.1992467118407095,6.969521231525423,0.0,6.632620295819307,7.086568317674715,6.966657149925722,6.929130871351359,7.059387390612771,6.762966157302442,7.139595586210236,6.849797449353066,6.830771138475904,6.672034298480678,6.709213643720663
nf_resnet50_classification,6.6326202958193,6.632620295819301,5.980517883109973,6.6326202958193,6.451415964599887,6.361000208172106,6.6326202958193,6.6326202958193,6.6326202958193,6.6326202958193,6.632620295819308,6.632620295819307,6.632620295819307,6.628250410047021,5.67171535125382,6.632620295819308,6.632620295819307,6.412332023403356,6.632620295819307,6.553530194656196,6.632620295819307,0.0,6.632620295819307,6.632620295819307,6.527232643156631,6.628311637462302,6.452449077049418,6.6326202958193,6.572727545282935,6.460273760238054,6.347898126462322,6.505131008330257
pit_ti_224_classification,7.238185187900443,7.467327764149644,6.277369985593597,7.363998788512425,7.076353850530059,6.644538315987858,7.387623900092172,7.1576140466581455,7.467327764149643,7.289766143538391,7.467327764149644,7.207842481845453,7.185566596372027,7.193207088392758,5.736950632096849,7.467327764149642,7.081252404065565,6.939596098602981,7.467327764149643,7.198728162589863,7.086568317674715,6.632620295819307,0.0,6.966657149925722,6.929130871351359,7.097515569410529,6.849129253672648,7.467327764149643,6.960579090998583,6.943040965181175,6.836817120342759,6.864047089966358
resnet50_classification,6.966657149925722,6.966657149925723,6.277369985593597,6.966657149925722,6.9152847587564334,6.644538315987858,6.966657149925722,6.966657149925722,6.966657149925722,6.966657149925722,6.966657149925723,6.966657149925722,6.966657149925722,6.966657149925722,5.780197651401415,6.966657149925721,6.966657149925722,6.810435289327648,6.966657149925722,6.966657149925722,6.966657149925722,6.632620295819307,6.966657149925722,0.0,6.929130871351364,6.813906305544225,6.7820639595939705,6.966657149925722,6.935577329001284,6.824931127555545,6.724092623202693,6.724969958702516
semnasnet_100_classification,6.929130871351364,6.929130871351365,6.277369985593597,6.929130871351364,6.751545116316306,6.529280279443231,6.929130871351364,6.929130871351364,6.929130871351364,6.929130871351364,6.929130871351358,6.929130871351359,6.929130871351359,6.929130871351359,5.861111780008823,6.929130871351363,6.929130871351359,6.929130871351364,6.929130871351359,6.929130871351364,6.929130871351359,6.527232643156631,6.929130871351359,6.929130871351364,0.0,6.929130871351359,6.844481940636063,6.929130871351364,6.876233345195972,6.820237607311342,6.640884879903693,6.662715380483137
swin_large_patch4_window7_224_classification,7.292184043249376,7.472559590247469,6.206724541136779,7.03837329349044,6.761038287116296,6.508432273489342,6.943124642423704,6.965383330268868,7.239129478131826,7.135203671181398,7.515335349280388,7.046419016662704,7.150854147509582,7.0713098656747215,5.941268605305074,7.51533534928039,6.97284567947402,6.831209303112039,7.338255603045268,6.9005774786790885,7.059387390612771,6.628311637462302,7.097515569410529,6.813906305544225,6.929130871351359,0.0,6.849129253672648,7.159191854697911,6.859556374052297,6.837939619165086,6.69991877404509,6.778664131157095
tnt_s_patch16_224_classification,6.849129253672648,6.849129253672647,6.277369985593597,6.849129253672648,6.849129253672648,6.6038087103721175,6.849129253672648,6.849129253672648,6.849129253672648,6.849129253672648,6.849129253672647,6.8491292536726425,6.849129253672648,6.8491292536726425,5.584113131628639,6.849129253672649,6.7432403066918445,6.732123433829275,6.849129253672648,6.72807258634466,6.762966157302442,6.452449077049418,6.849129253672648,6.7820639595939705,6.844481940636063,6.849129253672648,0.0,6.849129253672648,6.849129253672648,6.849129253672648,6.836817120342759,6.849129253672648
visformer_small_classification,7.270671516834524,7.540349348168393,6.277369985593611,7.363998788512441,7.076353850530047,6.64453831598786,7.367033735727317,7.157614046658142,7.540349348168379,7.289766143538389,7.540349348168391,7.207842481845453,7.205330129263515,7.193207088392758,5.93682530049518,7.540349348168391,7.112372982731172,6.939596098602981,7.540349348168392,7.198728162589863,7.139595586210236,6.6326202958193,7.467327764149643,6.966657149925722,6.929130871351364,7.159191854697911,6.849129253672648,0.0,6.960579090998583,6.943040965181175,6.836817120342759,6.864047089966351
vit_base_patch16_224_classification,6.960579090998583,6.960579090998582,6.277369985593597,6.960579090998583,6.960579090998583,6.644538315987858,6.960579090998583,6.960579090998583,6.960579090998583,6.960579090998583,6.960579090998582,6.9605790909985865,6.960579090998583,6.9605790909985865,5.685188099012647,6.960579090998584,6.841972769933268,6.795704848082211,6.960579090998583,6.866050310797914,6.849797449353066,6.572727545282935,6.960579090998583,6.935577329001284,6.876233345195972,6.859556374052297,6.849129253672648,6.960579090998583,0.0,6.94304096518118,6.804830583794804,6.864047089966358
vit_base_patch32_224_classification,6.943040965181175,6.943040965181176,6.277369985593597,6.943040965181175,6.86290703869823,6.595332396755433,6.943040965181175,6.943040965181175,6.943040965181175,6.943040965181175,6.943040965181176,6.94304096518118,6.943040965181175,6.94304096518118,5.719542040928832,6.943040965181174,6.826541536781152,6.685782710741731,6.943040965181175,6.840991168610421,6.830771138475904,6.460273760238054,6.943040965181175,6.824931127555545,6.820237607311342,6.837939619165086,6.849129253672648,6.943040965181175,6.94304096518118,0.0,6.700902543060674,6.711821798503611
