swept_variable,swept_dimension,target_dim,source1_dim,source2_dim,method,minimum_eigenvalue,redundancy,unique_source1,unique_source2,synergy,I(source1;target),I(source2;target),"I(source1,source2;target)",runtime_seconds,max_abs_diff_vs_eigen
source1,460,50,460,55,eigen_pid,0.20871215252207886,16.524101186092025,0.0,15.787930072922427,7.3120312590144465,16.52410118609203,32.312031259014454,39.6240625180289,0.6435851689893752,0.0
source1,470,50,470,55,gpid_tilde,0.20871215252207534,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,139.0835875060875,2.3543979850160213e-06
source1,470,50,470,55,thin_pid,0.20871215252207534,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,340.6779962729197,2.3543979850160213e-06
source1,470,50,470,55,eigen_pid,0.20871215252207534,16.524101186092025,0.0,15.787930072922427,7.3120312590144465,16.52410118609203,32.312031259014454,39.6240625180289,0.6705093041528016,0.0
source1,480,50,480,55,gpid_tilde,0.20871215252207867,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,143.01911402889527,2.3543979850160213e-06
source1,480,50,480,55,thin_pid,0.20871215252207867,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,343.32297919201665,2.3543979850160213e-06
source1,480,50,480,55,eigen_pid,0.20871215252207867,16.524101186092025,0.0,15.787930072922427,7.3120312590144465,16.52410118609203,32.312031259014454,39.6240625180289,0.6998161189258099,0.0
source1,490,50,490,55,gpid_tilde,0.20871215252207923,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,141.99481622013263,2.3543979850160213e-06
source1,490,50,490,55,thin_pid,0.20871215252207923,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,345.8783817028161,2.3543979850160213e-06
source1,490,50,490,55,eigen_pid,0.20871215252207923,16.524101186092025,0.0,15.787930072922427,7.3120312590144465,16.52410118609203,32.312031259014454,39.6240625180289,0.5746157618705183,0.0
source1,500,50,500,55,gpid_tilde,0.20871215252207853,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,147.72242927202024,2.3543979850160213e-06
source1,500,50,500,55,thin_pid,0.20871215252207853,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,349.0559634491801,2.3543979850160213e-06
source1,500,50,500,55,eigen_pid,0.20871215252207853,16.524101186092025,0.0,15.787930072922427,7.3120312590144465,16.52410118609203,32.312031259014454,39.6240625180289,0.7193414620123804,0.0
source1,510,50,510,55,gpid_tilde,0.20871215252207662,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,152.67338520218618,2.3543979850160213e-06
source1,510,50,510,55,thin_pid,0.20871215252207662,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,358.9579666778445,2.3543979850160213e-06
source1,510,50,510,55,eigen_pid,0.20871215252207662,16.524101186092025,0.0,15.787930072922427,7.3120312590144465,16.52410118609203,32.312031259014454,39.6240625180289,0.5675228470936418,0.0
source1,520,50,520,55,gpid_tilde,0.2087121525220784,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,156.32041023718193,2.3543979850160213e-06
source1,520,50,520,55,thin_pid,0.2087121525220784,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,360.50098495185375,2.3543979850160213e-06
source1,520,50,520,55,eigen_pid,0.2087121525220784,16.524101186092025,0.0,15.787930072922427,7.3120312590144465,16.52410118609203,32.312031259014454,39.6240625180289,0.8063394068740308,0.0
source1,530,50,530,55,gpid_tilde,0.2087121525220756,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,157.1760374729056,2.3543979850160213e-06
source1,530,50,530,55,thin_pid,0.2087121525220756,16.524101186092025,0.0,15.787930072922425,7.312028904616469,16.52410118609202,32.31203125901445,39.624060163630915,372.14744496298954,2.3543979850160213e-06
