model_name,layer_index,pc_index,alpha
hardcorenas_f_classification,294,49,10000.0
hardcorenas_f_classification,294,50,10000.0
hardcorenas_f_classification,294,51,10000.0
hardcorenas_f_classification,294,52,10000.0
hardcorenas_f_classification,294,53,10000.0
hardcorenas_f_classification,294,54,10000.0
hardcorenas_f_classification,294,55,10000.0
hardcorenas_f_classification,294,56,10000.0
hardcorenas_f_classification,294,57,10000.0
hardcorenas_f_classification,294,58,10000.0
hardcorenas_f_classification,294,59,21209.508879201927
hardcorenas_f_classification,294,60,10000.0
hardcorenas_f_classification,294,61,10000.0
hardcorenas_f_classification,294,62,10000.0
hardcorenas_f_classification,294,63,10000.0
hardcorenas_f_classification,294,64,10000.0
hardcorenas_f_classification,294,65,10000.0
hardcorenas_f_classification,294,66,10000.0
hardcorenas_f_classification,294,67,10000.0
hardcorenas_f_classification,294,68,21209.508879201927
hardcorenas_f_classification,294,69,10000.0
hardcorenas_f_classification,294,70,10000.0
hardcorenas_f_classification,294,71,10000.0
hardcorenas_f_classification,294,72,10000.0
hardcorenas_f_classification,294,73,10000.0
hardcorenas_f_classification,294,74,10000.0
hardcorenas_f_classification,294,75,10000.0
hardcorenas_f_classification,294,76,10000.0
hardcorenas_f_classification,294,77,10000.0
hardcorenas_f_classification,294,78,10000.0
hardcorenas_f_classification,294,79,10000.0
hardcorenas_f_classification,294,80,10000.0
hardcorenas_f_classification,294,81,10000.0
hardcorenas_f_classification,294,82,10000.0
hardcorenas_f_classification,294,83,10000.0
hardcorenas_f_classification,294,84,10000.0
hardcorenas_f_classification,294,85,10000.0
hardcorenas_f_classification,294,86,10000.0
hardcorenas_f_classification,294,87,10000.0
hardcorenas_f_classification,294,88,10000.0
hardcorenas_f_classification,294,89,10000.0
hardcorenas_f_classification,294,90,10000.0
hardcorenas_f_classification,294,91,10000.0
hardcorenas_f_classification,294,92,10000.0
hardcorenas_f_classification,294,93,21209.508879201927
hardcorenas_f_classification,294,94,10000.0
hardcorenas_f_classification,294,95,10000.0
hardcorenas_f_classification,294,96,10000.0
hardcorenas_f_classification,294,97,10000.0
hardcorenas_f_classification,294,98,10000.0
hardcorenas_f_classification,294,99,21209.508879201927
hardcorenas_f_classification,294,100,10000.0
hardcorenas_f_classification,294,101,10000.0
hardcorenas_f_classification,294,102,10000.0
