subset,subset_size,cmi_score,unique,red,unq2,syn,elapsed_seconds,status
6;12;30,3,,0.07683218609231801,1.500112405158525,42.99941162617008,0.0801713875580532,2331.403068053536,unique_below_threshold
6;17;22,3,,0.09473665382896712,1.385950233037974,43.11357379829063,0.08595799982767716,2430.7977431686595,unique_below_threshold
6;22;26,3,,0.10066362244415217,1.355989413112546,43.14353461821606,0.08444125356050591,2529.5430079931393,unique_pass
6;26;37,3,,0.08685563255130546,1.3209821514903481,43.17854187983826,0.08075102072783125,2632.4044935703278,unique_below_threshold
6;32;40,3,,0.052757301302889914,1.2797368054215568,43.21978722590705,0.07610401753679241,2732.3311226172373,unique_below_threshold
7;9;29,3,,0.06525587262995458,1.6331604957821355,42.86636353554647,0.07535176650558384,2834.5098985303193,unique_below_threshold
7;9;38,3,,0.06121561564148692,1.556000120996309,42.943523910332296,0.07607300620111346,2935.1059186160564,unique_below_threshold
7;15;23,3,,0.085606409637073,1.3122750307665,43.187249000562105,0.08008877629809064,3037.8251036293805,unique_below_threshold
7;19;38,3,,0.05613097456408411,1.2010292944987029,43.2984947368299,0.07820626253329976,3136.577626778744,unique_below_threshold
7;38;49,3,,0.05363445033901115,1.0815608714883425,43.41796315984026,0.07684219304625373,3235.443401522003,unique_below_threshold
7;41;44,3,,0.06125715920362751,1.111037770927453,43.38848626040115,0.0773194959118868,3332.7875277763233,unique_below_threshold
8;11;17,3,,0.04662073705129188,1.3214081068045758,43.17811592452403,0.0797046316345913,3442.1304556773975,unique_below_threshold
8;16;27,3,,0.05262868312527047,1.0932303217220536,43.40629370960655,0.07980766667669315,3555.912452261895,unique_below_threshold
8;16;45,3,,0.031260443205432864,0.9894675553069234,43.51005647602168,0.08030174621703878,3671.233658234589,unique_below_threshold
8;20;22,3,,0.06579583455192761,1.1417787991272803,43.357745232201324,0.08383257357106544,3787.433634132147,unique_below_threshold
8;20;27,3,,0.06215551978005607,1.118796036776132,43.38072799455247,0.0799726548690316,3912.27873316966,unique_below_threshold
8;20;34,3,,0.0481936061255368,1.0915447682793342,43.40797926304927,0.07986549550206234,4022.626890545711,unique_below_threshold
8;27;40,3,,0.0423483552980457,1.0271295677058419,43.47239446362276,0.07530838808953888,4136.0721243405715,unique_below_threshold
8;37;46,3,,0.03217670397542349,1.0260693969826633,43.47345463434594,0.07574095719816398,4255.335552371107,unique_below_threshold
9;14;26,3,,0.05196486362211061,1.0605949744672571,43.43892905686135,0.07242212349687094,4365.622805094346,unique_below_threshold
9;16;27,3,,0.05043544151008206,1.1522837749543484,43.347240256374256,0.07901191073380431,4473.378364476375,unique_below_threshold
9;18;46,3,,0.041463379489925956,1.2529770222072045,43.2465470091214,0.07618005804746986,4587.271336358972,unique_below_threshold
9;22;40,3,,0.04601728705729613,1.1140789767335662,43.38544505459504,0.07815055309502839,4699.1185741005465,unique_below_threshold
9;23;45,3,,0.044946381766735044,1.0562798455710123,43.44324418575759,0.07970228478497177,4807.36045019608,unique_below_threshold
9;28;36,3,,0.00944051795981693,0.9889604273339998,43.510563603994605,0.07436406210716484,4906.970506703481,unique_below_threshold
9;34;40,3,,0.028032874132279062,1.0627950581778833,43.43672897315072,0.0745790478251962,5007.819578874856,unique_below_threshold
10;12;27,3,,0.06416852987874222,1.2718591697245714,43.22766486160403,0.08034615299825987,5111.021710388362,unique_below_threshold
10;16;45,3,,0.042370967361314626,1.0604346456409885,43.439089385687616,0.08155086983037307,5214.111546178348,unique_below_threshold
10;19;32,3,,0.03379259052000805,1.1728984819416866,43.32662554938692,0.0760558151437607,5319.77047875803,unique_below_threshold
10;23;45,3,,0.054670300091608226,1.0563831946087703,43.443140836719834,0.08254898736469585,5418.482235446572,unique_below_threshold
10;25;33,3,,0.04615421069843251,1.1162931751035785,43.383230856225026,0.07749821110854782,5515.072472748347,unique_below_threshold
10;29;42,3,,0.03439760891820498,1.0764333630628968,43.42309066826571,0.07627545888822596,5618.411353367381,unique_below_threshold
11;14;22,3,,0.0814037274613284,0.9205232867801385,43.579000744548466,0.08145757855972846,5719.450630135834,unique_below_threshold
11;19;34,3,,0.05172233861587472,0.9779230352336299,43.521600996094975,0.0806785805015835,5820.149391866289,unique_below_threshold
11;25;33,3,,0.049047593804878886,0.9500903988486797,43.54943363247992,0.07832602704849734,5918.80372199323,unique_below_threshold
11;35;41,3,,0.04542164598519349,0.9273313208727458,43.57219271045586,0.07944459497846168,6013.856725954451,unique_below_threshold
12;24;43,3,,0.03153955560535593,0.8097720713146472,43.68975196001396,0.0811645480647698,6109.945211646147,unique_below_threshold
13;16;21,3,,0.03792455799431593,1.031422660333483,43.46810137099512,0.07682944168429628,6215.580527625047,unique_below_threshold
13;16;31,3,,0.053462354664375766,0.9252658114088206,43.574258219919784,0.08008412185530744,6342.092730305158,unique_below_threshold
13;17;42,3,,0.04247641229596866,0.8952655484349066,43.6042584828937,0.07652599183671782,6459.359633771703,unique_below_threshold
13;29;32,3,,0.03761141303823479,0.9126312711015174,43.58689276022709,0.07491629587769921,6583.204232917167,unique_below_threshold
15;17;38,3,,0.03517200773535478,0.7424423144335321,43.75708171689507,0.07864509165449363,6693.167894097976,unique_below_threshold
15;26;39,3,,0.05690590619347802,0.7215846758475593,43.777939355481045,0.07956405641742492,6799.398568295874,unique_below_threshold
16;25;44,3,,0.028786584085409572,0.6827402131138385,43.816783818214766,0.07818132882640327,6909.850519947708,unique_below_threshold
