subset,subset_size,cmi_score,unique,red,unq2,syn,elapsed_seconds,status
1;23,2,,0.09720388920587197,1.5091935423600376,42.99033048896894,0.06086741110243565,5447.995738536993,unique_below_threshold
1;24,2,,0.08692573553407357,1.476795065251224,43.02272896607775,0.060031718368456666,5520.369167965022,unique_below_threshold
1;25,2,,0.08956200668738035,1.4919849008193253,43.00753913050965,0.057713114729203596,5596.359263685998,unique_below_threshold
1;26,2,,0.08805225630987934,1.4924920318549368,43.00703199947404,0.056975546043560144,5671.445995933027,unique_below_threshold
1;27,2,,0.10086258584914276,1.4879507893199673,43.01157324200901,0.05873612813704199,5744.960804513015,unique_pass
1;28,2,,0.07022757444849503,1.4455699056755975,43.05395412565338,0.057747978061115646,5819.4753801840125,unique_below_threshold
1;29,2,,0.07902168101004747,1.4853721532084734,43.0141518781205,0.05824635647972798,5895.29840626003,unique_below_threshold
0;5,2,,0.12046342581271574,2.1717943424484716,42.3277296888805,0.06111283219786401,5967.602700007032,unique_pass
3;5,2,,0.08391775119126521,1.4974641507627524,43.00205988056622,0.054925552985238824,6044.048430661031,unique_below_threshold
4;5,2,,0.10005487869875651,1.6745214649241404,42.825002566404834,0.06152135609417542,6119.948805981025,unique_pass
5;6,2,,0.1104089417286076,1.645893408725982,42.85363062260299,0.06085378318583423,6196.001639197988,unique_pass
5;7,2,,0.10134344656231775,1.5709572385016557,42.92856679282732,0.05653199909382778,6272.837179352995,unique_pass
5;8,2,,0.06744192412119787,1.3913695477610588,43.108154483567915,0.05621535009831291,6349.277070015029,unique_below_threshold
5;9,2,,0.070296181645368,1.4530132264878404,43.046510804841134,0.055779841912546146,6421.797108333034,unique_below_threshold
5;10,2,,0.08075100204300156,1.4555588928897265,43.04396513843925,0.05776963310947281,6497.091131599038,unique_below_threshold
5;11,2,,0.08360380061934336,1.2975824337022104,43.201941597626764,0.058820971139724065,6571.365250262024,unique_below_threshold
5;12,2,,0.07159649376746557,1.205825876079011,43.29369815524996,0.058504715702831334,6646.812163898023,unique_below_threshold
5;13,2,,0.08635573413103259,1.2297307417665237,43.26979328956245,0.05755282587328736,6722.05887733103,unique_below_threshold
5;14,2,,0.07922534421778238,0.9843422169704823,43.51518181435849,0.05393802581519225,6798.746094329981,unique_below_threshold
5;15,2,,0.07767960310835065,1.1071757753028137,43.39234825602616,0.05665249705498354,6872.649488527037,unique_below_threshold
5;16,2,,0.06835656670561008,1.0925115806131487,43.407012450715825,0.05911199025558034,6949.133183340018,unique_below_threshold
5;17,2,,0.07108760608484488,1.111798657559767,43.38772537376921,0.056788183654575164,7023.583479284018,unique_below_threshold
