example,sweep_variable,swept_dimension,target_dim,source1_dim,source2_dim,source1_gain,source2_gain,source1_noise_variance,source2_noise_variance,runtime_repeat,method,status,message,red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi,identity_error_joint,identity_error_x1,identity_error_x2,runtime_seconds
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,514.8227205639705
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,3,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,513.2340354970656
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,4,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,536.8255328889936
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,0,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,242.22288056300022
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,1,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,225.9503879030235
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,227.60669960291125
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,3,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,212.37491319607943
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,4,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,224.60673383600079
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,0,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.013671917840838432
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,1,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.06414121692068875
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.03712255577556789
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,3,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.03185378201305866
all_atoms_positive,source1_dim,351,2,351,2,1.4142135623730951,1.4142135623730951,1.0,1.0,4,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.01687866193242371
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,0,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,571.6426735541318
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,1,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,606.8207398629747
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,646.9329069319647
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,3,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,668.9466596511193
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,4,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,679.6641606909689
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,0,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,513.4458633649629
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,1,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,649.4659755260218
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,625.7258526999503
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,3,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,462.7124125328846
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,4,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,429.90690028015524
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,0,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.5196654899045825
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,1,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.38107627211138606
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.39012236311100423
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,3,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.19918286707252264
all_atoms_positive,source1_dim,401,2,401,2,1.4142135623730951,1.4142135623730951,1.0,1.0,4,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.012718473095446825
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,0,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,848.9722143949475
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,1,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,724.8905079711694
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,693.3431283279788
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,3,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,679.2767621150706
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,4,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,664.5990506741218
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,0,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,501.39623310696334
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,1,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,500.97893647197634
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,496.0648296580184
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,3,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,565.3400492889341
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,4,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,651.6496849239338
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,0,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.5098718989174813
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,1,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.4553203040268272
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.42084621801041067
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,3,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.4410822638310492
all_atoms_positive,source1_dim,451,2,451,2,1.4142135623730951,1.4142135623730951,1.0,1.0,4,eigen_pid,ok,,0.9999999999999998,0.2924812503605783,0.29248125036057837,0.4150374992788435,1.292481250360578,1.292481250360578,2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.455945011228323
all_atoms_positive,source1_dim,501,2,501,2,1.4142135623730951,1.4142135623730951,1.0,1.0,0,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,1109.7246139638592
all_atoms_positive,source1_dim,501,2,501,2,1.4142135623730951,1.4142135623730951,1.0,1.0,1,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,1120.4423372980673
all_atoms_positive,source1_dim,501,2,501,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,920.0098974809516
all_atoms_positive,source1_dim,501,2,501,2,1.4142135623730951,1.4142135623730951,1.0,1.0,3,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,1018.034311525058
all_atoms_positive,source1_dim,501,2,501,2,1.4142135623730951,1.4142135623730951,1.0,1.0,4,gpid_tilde,ok,,1.000000048070173,0.2924812022904051,0.2924812022904051,0.41503743914689584,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,1084.3882901030593
all_atoms_positive,source1_dim,501,2,501,2,1.4142135623730951,1.4142135623730951,1.0,1.0,0,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,943.4777682051063
all_atoms_positive,source1_dim,501,2,501,2,1.4142135623730951,1.4142135623730951,1.0,1.0,1,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,949.1748250168748
all_atoms_positive,source1_dim,501,2,501,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,thin_pid,ok,,0.9999999999992384,0.29248125036133965,0.29248125036133965,0.41503739107596127,1.292481250360578,1.292481250360578,1.999999891797879,0.0,0.0,0.0,952.6110453780275
