swept_variable,swept_dimension,target_dim,source1_dim,source2_dim,method,minimum_eigenvalue,redundancy,unique_source1,unique_source2,synergy,I(source1;target),I(source2;target),"I(source1,source2;target)",runtime_seconds,max_abs_diff_vs_eigen
target,350,350,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,106.090805668151,2.9094347482327976e-06
target,350,350,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,13.437539956066757,2.909438414633314e-06
target,350,350,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014456,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.6098966570571065,0.0
target,360,360,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,109.20540163712576,2.9094347482327976e-06
target,360,360,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,13.014828235842288,2.909438414633314e-06
target,360,360,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014458,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.1489105569198728,0.0
target,370,370,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,127.70984487910755,2.9094347482327976e-06
target,370,370,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,13.691805931041017,2.909438414633314e-06
target,370,370,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.49015893205069,0.0
target,380,380,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,142.34270395780914,2.9094347482327976e-06
target,380,380,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,14.076841742033139,2.909438414633314e-06
target,380,380,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.0940093309618533,0.0
target,390,390,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,162.9438834169414,2.9094347482327976e-06
target,390,390,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,15.227849405026063,2.909438414633314e-06
target,390,390,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014456,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.2451190950814635,0.0
target,400,400,50,55,gpid_tilde,0.2087121525220774,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,171.5308250861708,2.9094347482327976e-06
target,400,400,50,55,thin_pid,0.2087121525220774,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,15.284843967994675,2.909438414633314e-06
target,400,400,50,55,eigen_pid,0.2087121525220774,25.0,7.312031259014458,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.3500644410960376,0.0
target,410,410,50,55,gpid_tilde,0.20871215252207828,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,175.94082003994845,2.9094347482327976e-06
target,410,410,50,55,thin_pid,0.20871215252207828,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,15.596854580799118,2.909438414633314e-06
target,410,410,50,55,eigen_pid,0.20871215252207828,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.4340934101492167,0.0
target,420,420,50,55,gpid_tilde,0.20871215252207861,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,194.20329665997997,2.9094347482327976e-06
target,420,420,50,55,thin_pid,0.20871215252207861,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,15.468733047135174,2.909438414633314e-06
target,420,420,50,55,eigen_pid,0.20871215252207861,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,1.1941925720311701,0.0
target,430,430,50,55,gpid_tilde,0.20871215252207861,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,202.435844093794,2.9094347482327976e-06
