,R²_A,R²_B,R²_AB,unique_A,unique_B,common,unexplained,suppression_strength,snr,mixing_dimension
26,0.7446172782810938,0.01124342610169476,0.7461249723908334,0.7348815462891387,0.0015076941097396102,0.009735731991955099,0.2538750276091666,0.5,10.0,150.0
32,0.7446172782810938,0.011243426101694756,0.7461249723908334,0.7348815462891387,0.0015076941097396102,0.009735731991955099,0.2538750276091666,0.5,10.0,250.0
33,0.7555550890775786,0.011243363665485106,0.7570009620915732,0.7457575984260881,0.0014458730139945697,0.009797490651490492,0.2429990379084268,0.5,20.0,
39,0.7555550890775786,0.011243363665485104,0.7570009620915732,0.7457575984260881,0.0014458730139945697,0.009797490651490492,0.2429990379084268,0.5,20.0,300.0
38,0.7555550890775786,0.011243363665485106,0.7570009620915732,0.7457575984260881,0.0014458730139945697,0.009797490651490492,0.2429990379084268,0.5,20.0,200.0
37,0.7555550890775786,0.011243363665485107,0.7570009620915732,0.7457575984260881,0.0014458730139945697,0.009797490651490492,0.2429990379084268,0.5,20.0,150.0
40,0.7555550890775786,0.011243363665485106,0.7570009620915732,0.7457575984260881,0.0014458730139945697,0.009797490651490492,0.2429990379084268,0.5,20.0,120.0
43,0.7555550890775786,0.011243363665485106,0.7570009620915732,0.7457575984260881,0.0014458730139945697,0.009797490651490492,0.2429990379084268,0.5,20.0,250.0
42,0.7555550890775786,0.011243363665485106,0.7570009620915732,0.7457575984260881,0.0014458730139945697,0.009797490651490492,0.2429990379084268,0.5,20.0,190.0
41,0.7555550890775786,0.011243363665485106,0.7570009620915732,0.7457575984260881,0.0014458730139945697,0.009797490651490492,0.2429990379084268,0.5,20.0,180.0
54,0.7587201760774431,0.011244021554223188,0.7601481699554182,0.748904148401195,0.0014279938779750978,0.009816027676248118,0.23985183004458177,0.5,50.0,250.0
44,0.7587201760774431,0.011244021554223188,0.7601481699554181,0.7489041484011949,0.0014279938779749868,0.009816027676248229,0.23985183004458188,0.5,50.0,
48,0.7587201760774431,0.011244021554223188,0.7601481699554181,0.7489041484011949,0.0014279938779749868,0.009816027676248229,0.23985183004458188,0.5,50.0,150.0
50,0.7587201760774431,0.011244021554223186,0.7601481699554181,0.7489041484011949,0.0014279938779749868,0.009816027676248229,0.23985183004458188,0.5,50.0,300.0
49,0.7587201760774431,0.011244021554223188,0.7601481699554181,0.7489041484011949,0.0014279938779749868,0.009816027676248229,0.23985183004458188,0.5,50.0,200.0
51,0.7587201760774431,0.011244021554223188,0.7601481699554181,0.7489041484011949,0.0014279938779749868,0.009816027676248229,0.23985183004458188,0.5,50.0,120.0
52,0.7587201760774431,0.011244021554223188,0.7601481699554181,0.7489041484011949,0.0014279938779749868,0.009816027676248229,0.23985183004458188,0.5,50.0,180.0
53,0.7587201760774431,0.011244021554223188,0.7601481699554181,0.7489041484011949,0.0014279938779749868,0.009816027676248229,0.23985183004458188,0.5,50.0,190.0
