model_1,model_2,layer_1,layer_2,subj_id,n_samples,n_components_source_1,n_components_source_2,n_components_target,pid_method,rng_seed,bias_correction,red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi
nf_resnet50_classification,convit_base_classification,141,201,subj01,10000,100,100,100,tilde,56,True,9.252600948983593,0.8741632656203002,0.8256922884615303,1.040239826205747,10.126764214603895,10.078293237445125,11.992696329271173
nf_resnet50_classification,ViT-B_32_clip,141,53,subj01,10000,100,100,100,tilde,56,True,9.801557097750099,0.32520711685379844,1.7497583579951979,1.128702847809052,10.126764214603895,11.551315455745295,13.005225420408145
nf_resnet50_classification,RN50_clip,141,179,subj01,10000,100,100,100,tilde,56,True,10.103401790510354,0.02336242409354128,1.9358239896159581,0.9530287756938769,10.126764214603895,12.039225780126312,13.01561697991373
nf_resnet50_classification,RN101_clip,141,366,subj01,10000,100,100,100,tilde,56,True,9.87960099125813,0.24716322334576724,1.675877302748539,1.065624090185107,10.126764214603895,11.555478294006667,12.868265607537541
nf_resnet50_classification,ViT-L_14_clip,141,96,subj01,10000,100,100,100,tilde,56,True,9.811573466508726,0.315190748095171,1.7745867185356943,1.2186942462082264,10.126764214603895,11.586160185044418,13.120045179347816
nf_resnet50_classification,ResNet50-SimCLR_selfsupervised,141,162,subj01,10000,100,100,100,tilde,56,True,9.655770764593079,0.47099345001081616,1.0909784471180117,1.0769886864765752,10.126764214603895,10.74674921171109,12.294731348198482
nf_resnet50_classification,ResNet50-DeepClusterV2-2x224_selfsupervised,141,162,subj01,10000,100,100,100,tilde,56,True,9.61832303383547,0.5084411807684255,0.9515777366905169,1.017043737089935,10.126764214603895,10.569900770525987,12.095385688384347
nf_resnet50_classification,ResNet50-SwAV-BS4096-2x224_selfsupervised,141,165,subj01,10000,100,100,100,tilde,56,True,9.693922530582688,0.4328416840212057,0.8017429712609161,1.0107822349367073,10.126764214603895,10.495665501843606,11.939289420801519
nf_resnet50_classification,ResNet50-PIRL_selfsupervised,141,165,subj01,10000,100,100,100,tilde,56,True,9.229262850623234,0.8975013639806608,0.88363521589927,1.1562614226332801,10.126764214603895,10.112898066522504,12.166660853136445
nf_resnet50_classification,ResNet50-ClusterFit-16K-RotNet_selfsupervised,141,160,subj01,10000,100,100,100,tilde,56,True,8.534654700081488,1.5921095145224093,0.6468990271445083,1.1400934020239806,10.126764214603895,9.181553727225994,11.913756643772384
nf_resnet50_classification,ResNet50-MoCoV2-BS256_selfsupervised,141,155,subj01,10000,100,100,100,tilde,56,True,9.260894044924775,0.8658701696791198,1.0647580284227054,1.0333486482645888,10.126764214603895,10.32565207334748,12.22487089129119
hardcorenas_f_classification,eca_nfnet_l0_classification,294,134,subj01,10000,100,100,100,tilde,56,True,10.192561122549916,0.10474919676214078,1.4283651635513088,0.9798456839157712,10.297310319312059,11.620926286101227,12.705521166779139
hardcorenas_f_classification,resnet50_classification,294,156,subj01,10000,100,100,100,tilde,56,True,9.475654882867707,0.8216554364443542,0.6873035725689753,1.0711826688406223,10.297310319312059,10.16295845543668,12.055796560721657
hardcorenas_f_classification,semnasnet_100_classification,294,270,subj01,10000,100,100,100,tilde,56,True,9.586909104094724,0.7104012152173365,0.6708795593556829,1.0035829171366242,10.297310319312059,10.257788663450405,11.971772795804366
hardcorenas_f_classification,cspresnet50_classification,294,320,subj01,10000,100,100,100,tilde,56,True,9.711722238184658,0.5855880811274012,1.1047458882262653,1.0285626779934294,10.297310319312059,10.816468126410923,12.430618885531754
hardcorenas_f_classification,mobilenetv3_large_100_classification,294,252,subj01,10000,100,100,100,tilde,56,True,10.198044394402713,0.09926592490934816,0.9128074292540127,0.9150303197917271,10.297310319312059,11.110851823656724,12.125148068357799
hardcorenas_f_classification,ghostnet_100_classification,294,290,subj01,10000,100,100,100,tilde,56,True,9.591873638158903,0.7054366811531558,0.40778789155051953,0.988716673876775,10.297310319312059,9.999661529709423,11.693814884739353
hardcorenas_f_classification,convnext_base_classification,294,273,subj01,10000,100,100,100,tilde,56,True,10.15021713565018,0.14709318366187674,1.8539812011107788,1.0359549598748572,10.297310319312059,12.004198336760961,13.187246480297695
hardcorenas_f_classification,xcit_nano_12_p8_224_classification,294,266,subj01,10000,100,100,100,tilde,56,True,9.09861919425582,1.1986911250562393,0.6612585017453547,1.1513091778792255,10.297310319312059,9.759877696001174,12.10987799893664
hardcorenas_f_classification,xcit_nano_12_p16_224_classification,294,242,subj01,10000,100,100,100,tilde,56,True,9.184934484325495,1.1123758349865653,0.5697057608427247,1.1826048313453654,10.297310319312059,9.754640245168218,12.04962091150015
hardcorenas_f_classification,swin_large_patch4_window7_224_classification,294,281,subj01,10000,100,100,100,tilde,56,True,9.643256562587569,0.6540537567244904,1.3298936640757084,1.1865118215592982,10.297310319312059,10.973150226663277,12.813715804947066
hardcorenas_f_classification,jx_nest_tiny_classification,294,148,subj01,10000,100,100,100,tilde,56,True,9.778098458129087,0.5192118611829706,1.178979686259071,1.0812128738036044,10.297310319312059,10.95707814438816,12.557502879374734
hardcorenas_f_classification,pit_ti_224_classification,294,207,subj01,10000,100,100,100,tilde,56,True,9.627321814491728,0.6699885048203313,0.8387173067642415,1.0563467725184612,10.297310319312059,10.46603912125597,12.192374398594762
hardcorenas_f_classification,vit_base_patch32_224_classification,294,218,subj01,10000,100,100,100,tilde,56,True,9.148843677914765,1.1484666413972935,0.515677005240585,1.1697282216125942,10.297310319312059,9.66452068315535,11.982715546165238
hardcorenas_f_classification,vit_base_patch16_224_classification,294,197,subj01,10000,100,100,100,tilde,56,True,9.461836127137735,0.8354741921743241,0.6844336505841682,1.1224239962878624,10.297310319312059,10.146269777721903,12.10416796618409
hardcorenas_f_classification,tnt_s_patch16_224_classification,294,198,subj01,10000,100,100,100,tilde,56,True,9.147690116110764,1.1496202032012945,0.49235915745525816,1.157332120398257,10.297310319312059,9.640049273566023,11.947001597165574
hardcorenas_f_classification,crossvit_base_240_classification,294,336,subj01,10000,100,100,100,tilde,56,True,9.42313997166686,0.8741703476451992,0.8465064715556547,1.1250436678692388,10.297310319312059,10.269646443222515,12.268860458736953
hardcorenas_f_classification,deit_base_patch16_224_classification,294,205,subj01,10000,100,100,100,tilde,56,True,9.399694030395828,0.8976162889162289,0.8843307453629112,1.1204032766049572,10.297310319312059,10.284024775758741,12.302044341279927
hardcorenas_f_classification,levit_128_classification,294,181,subj01,10000,100,100,100,tilde,56,True,9.400676265678767,0.8966340536332904,1.1747907572793856,1.0140819823351368,10.297310319312059,10.575467022958154,12.486183058926581
hardcorenas_f_classification,coat_lite_tiny_classification,294,219,subj01,10000,100,100,100,tilde,56,True,9.869122787784766,0.4281875315272945,1.049794189060119,1.0096817019784634,10.297310319312059,10.918916976844883,12.356786210350641
hardcorenas_f_classification,visformer_small_classification,294,163,subj01,10000,100,100,100,tilde,56,True,9.83101052727992,0.4662997920321388,1.1893429821379833,1.0997524140277353,10.297310319312059,11.020353509417903,12.586405715477778
hardcorenas_f_classification,convit_base_classification,294,201,subj01,10000,100,100,100,tilde,56,True,9.341812371739898,0.9554979475721623,0.7364808655590611,1.1204594690672423,10.297310319312059,10.078293237298958,12.154250653938362
hardcorenas_f_classification,ViT-B_32_clip,294,53,subj01,10000,100,100,100,tilde,56,True,10.03171861523533,0.2655917040767264,1.5195968422685748,1.1305776766424493,10.297310319312059,11.551315457503907,12.947484838223083
hardcorenas_f_classification,RN50_clip,294,179,subj01,10000,100,100,100,tilde,56,True,10.074411512112656,0.2228988071994049,1.9648142745447217,1.0971478396084233,10.297310319312059,12.039225786657376,13.359272433465204
