config_json,"{""all_runs_results_prefix"": ""seed_runs"", ""method"": ""ridge_cv"", ""n"": 10000, ""n_seeds"": 1000, ""p"": 100, ""progress_print_every"": 100, ""r_str"": 30, ""results_dir"": ""/home/ohadshee/Desktop/Thesis_Ohad_Sheelo/simulation_results/turned_off_unique"", ""results_prefix"": ""seed_summary"", ""seed_start"": 0, ""snr"": 10, ""test_name"": ""turned_off_unique"", ""u1_str"": 15, ""u2_str"": 2}"

seed,CA_R²_X1,CA_R²_X2,CA_R²_X12,CA_unique_X1,CA_unique_X2,CA_common,CA_unexplained,PID_red,PID_unq1,PID_unq2,PID_syn,I(M1;T),I(M2;T),"I(M1,M2;T)"
8,0.986439662208116,0.7906588393960935,0.9863843816166356,0.19572554222054206,-5.528059148041109e-05,0.7907141199875738,0.013615618383364447,77.39374171394573,138.15785542132073,1.3171662522393603,0.0,215.55159713526646,78.71090796618508,216.86876338750582
9,0.9864258574968477,0.7905935099490461,0.9863686146033214,0.19577510465427528,-5.7242893526376903e-05,0.7906507528425725,0.01363138539667863,77.37516942074492,138.10737870061874,1.3117226433635665,0.0,215.48254812136366,78.68689206410849,216.79427076472723
10,0.9864591785862524,0.7910187948048037,0.9863992403952548,0.1953804455904511,-5.9938190997588237e-05,0.7910787329958013,0.01360075960474516,77.50084359242123,138.1222587771148,1.3005234550831801,0.0,215.62310236953604,78.80136704750441,216.92362582461922
11,0.9864833943552286,0.7899655912219307,0.9864210817766249,0.19645549055469425,-6.231257860367378e-05,0.7900279038005343,0.013578918223375092,77.25305919888297,138.46684947883205,1.2944257876925178,2.842170943040401e-14,215.719908677715,78.54748498657548,217.01433446540756
12,0.986417959308898,0.7908690568932251,0.9863602356399019,0.19549117874667687,-5.772366899603476e-05,0.7909267805622211,0.013639764360098061,77.4347347621545,138.04554724635494,1.312896338514264,2.842170943040401e-14,215.48028200850945,78.74763110066877,216.79317834702374
13,0.9864599102111627,0.7908256682192273,0.9863993528807363,0.19557368466150904,-6.055733042642508e-05,0.7908862255496537,0.013600647119263676,77.4493366585964,138.17065738619843,1.3001623259994517,2.842170943040401e-14,215.61999404479482,78.74949898459585,216.9201563707943
14,0.9864305104015659,0.7909769911151023,0.9863724364698879,0.1953954453547856,-5.807393167800434e-05,0.7910350650467805,0.013627563530112075,77.47964295409366,138.04317002198678,1.3091678172127388,0.0,215.52281297608044,78.78881077130642,216.83198079329318
15,0.9864024333763157,0.790023237728697,0.9863434740233368,0.1963202362946398,-5.895935297894894e-05,0.7900821970816758,0.013656525976663225,77.23908436653474,138.17599188550412,1.306436579743007,-2.842170943040401e-14,215.41507625203886,78.54552094627775,216.72151283178184
16,0.9864783744032617,0.7915017506846622,0.9864157570187712,0.19491400633410894,-6.261738449053755e-05,0.7915643680691528,0.013584242981228845,77.6261212679274,138.081787496928,1.2905323424073458,-5.684341886080802e-14,215.7079087648554,78.91665361033475,216.9984411072627
17,0.9864811417893177,0.7907616391109085,0.986418541870246,0.19565690275933756,-6.259991907164864e-05,0.79082423902998,0.013581458129753976,77.45063579218552,138.2610590264859,1.291077987496294,-2.842170943040401e-14,215.71169481867142,78.74171377968183,217.00277280616768
18,0.9864896456795493,0.7904929675398982,0.9864309771892846,0.19593800964938646,-5.866849026470167e-05,0.7905516360301629,0.01356902281071537,77.3536849673078,138.37984657939455,1.3054143751644744,-2.842170943040401e-14,215.73353154670235,78.65909934247227,217.0389459218668
19,0.986437297899305,0.7904625828413543,0.9863785983807695,0.19591601553941518,-5.869951853554323e-05,0.7905212823598898,0.013621401619230533,77.36262636970821,138.1859240874473,1.3048856587242312,0.0,215.5485504571555,78.66751202843245,216.85343611587973
20,0.9864466178432125,0.7909518269522627,0.9863855559459747,0.19543372899371192,-6.106189723786848e-05,0.7910128888495007,0.013614444054025343,77.47639981184258,138.10159647793807,1.2959122291586027,-5.684341886080802e-14,215.57799628978066,78.77231204100119,216.8739085189392
21,0.9864359717108448,0.790349774564466,0.986372679206413,0.19602290464194705,-6.329250443182222e-05,0.7904130670688977,0.013627320793586972,77.33738265943879,138.20410958383604,1.2881834073426148,-2.842170943040401e-14,215.54149224327483,78.62556606678142,216.82967565061742
